Category: All categories

Week,nestle: (Uganda),chocolates: (Uganda)
2018-04-15,0,0
2018-04-22,0,0
2018-04-29,0,0
2018-05-06,0,46
2018-05-13,0,0
2018-05-20,0,0
2018-05-27,0,33
2018-06-03,0,0
2018-06-10,23,20
2018-06-17,35,0
2018-06-24,0,0
2018-07-01,0,0
2018-07-08,0,0
2018-07-15,0,26
2018-07-22,0,0
2018-07-29,0,0
2018-08-05,0,0
2018-08-12,0,0
2018-08-19,0,25
2018-08-26,0,0
2018-09-02,0,0
2018-09-09,0,0
2018-09-16,0,0
2018-09-23,0,0
2018-09-30,23,0
2018-10-07,0,100
2018-10-14,0,19
2018-10-21,0,0
2018-10-28,0,0
2018-11-04,0,0
2018-11-11,0,0
2018-11-18,20,0
2018-11-25,28,18
2018-12-02,23,17
2018-12-09,0,0
2018-12-16,0,20
2018-12-23,0,0
2018-12-30,0,50
2019-01-06,21,34
2019-01-13,0,0
2019-01-20,0,0
2019-01-27,0,0
2019-02-03,0,0
2019-02-10,0,0
2019-02-17,0,0
2019-02-24,23,0
2019-03-03,0,0
2019-03-10,0,0
2019-03-17,0,0
2019-03-24,0,0
2019-03-31,0,20
2019-04-07,0,0
2019-04-14,0,0
2019-04-21,0,0
2019-04-28,0,0
2019-05-05,0,0
2019-05-12,0,0
2019-05-19,0,0
2019-05-26,0,0
2019-06-02,17,22
2019-06-09,0,0
2019-06-16,0,0
2019-06-23,44,0
2019-06-30,0,24
2019-07-07,0,0
2019-07-14,0,0
2019-07-21,0,0
2019-07-28,0,35
2019-08-04,0,0
2019-08-11,0,0
2019-08-18,0,0
2019-08-25,0,0
2019-09-01,40,14
2019-09-08,0,0
2019-09-15,0,0
2019-09-22,15,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,19,0
2019-10-20,24,0
2019-10-27,0,0
2019-11-03,0,0
2019-11-10,0,0
2019-11-17,0,0
2019-11-24,0,27
2019-12-01,0,0
2019-12-08,13,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,0,48
2020-01-12,0,0
2020-01-19,0,31
2020-01-26,0,0
2020-02-02,0,22
2020-02-09,0,0
2020-02-16,0,0
2020-02-23,0,16
2020-03-01,0,0
2020-03-08,0,0
2020-03-15,0,20
2020-03-22,0,0
2020-03-29,0,33
2020-04-05,0,0
2020-04-12,29,13
2020-04-19,0,0
2020-04-26,0,21
2020-05-03,0,0
2020-05-10,0,0
2020-05-17,12,0
2020-05-24,0,0
2020-05-31,0,12
2020-06-07,0,19
2020-06-14,0,0
2020-06-21,0,0
2020-06-28,0,23
2020-07-05,0,0
2020-07-12,9,0
2020-07-19,21,0
2020-07-26,0,0
2020-08-02,11,0
2020-08-09,0,0
2020-08-16,0,15
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,0,10
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,30,0
2020-11-08,0,0
2020-11-15,0,20
2020-11-22,0,28
2020-11-29,0,0
2020-12-06,23,0
2020-12-13,0,0
2020-12-20,0,0
2020-12-27,0,13
2021-01-03,0,0
2021-01-10,0,0
2021-01-17,0,27
2021-01-24,0,0
2021-01-31,0,0
2021-02-07,29,18
2021-02-14,0,0
2021-02-21,20,0
2021-02-28,22,0
2021-03-07,0,0
2021-03-14,0,0
2021-03-21,21,0
2021-03-28,0,13
2021-04-04,0,0
2021-04-11,0,0
2021-04-18,0,0
2021-04-25,0,10
2021-05-02,0,0
2021-05-09,12,0
2021-05-16,0,0
2021-05-23,0,0
2021-05-30,10,11
2021-06-06,11,0
2021-06-13,0,22
2021-06-20,0,0
2021-06-27,0,0
2021-07-04,0,0
2021-07-11,0,15
2021-07-18,0,0
2021-07-25,0,9
2021-08-01,0,9
2021-08-08,0,16
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,0,24
2021-09-05,0,0
2021-09-12,0,0
2021-09-19,0,0
2021-09-26,0,8
2021-10-03,0,0
2021-10-10,0,0
2021-10-17,8,0
2021-10-24,8,0
2021-10-31,0,0
2021-11-07,0,0
2021-11-14,0,0
2021-11-21,0,0
2021-11-28,0,7
2021-12-05,0,0
